"TrialID","Subj","Basename","TrialNo","Target","SemanticFoil","PhonologicalFoil","Unrelated"
61,"002L","RWL_Block1_002L38FS2",13,"dress","shirt","drum","swing"
62,"002L","RWL_Block1_002L38FS2",14,"cheese","bread","shirt","van"
63,"002L","RWL_Block1_002L38FS2",15,"van","horse","pan","sword"
64,"002L","RWL_Block1_002L38FS2",16,"pan","spoon","pear","vase"
65,"002L","RWL_Block1_002L38FS2",17,"sword","pen","swan","gift"
66,"002L","RWL_Block1_002L38FS2",18,"bee","fly","bear","heart"
67,"002L","RWL_Block1_002L38FS2",19,"pear","cheese","pen","ring"
68,"002L","RWL_Block1_002L38FS2",20,"shirt","dress","cheese","fly"
69,"002L","RWL_Block1_002L38FS2",21,"horse","bear","heart","pan"
70,"002L","RWL_Block1_002L38FS2",22,"swing","kite","spoon","heart"
71,"002L","RWL_Block1_002L38FS2",23,"spoon","pan","swan","drum"
72,"002L","RWL_Block1_002L38FS2",24,"bear","horse","bell","ring"
73,"002L","RWL_Block2_002L38FS2",25,"spoon","pan","swan","drum"
74,"002L","RWL_Block2_002L38FS2",26,"flag","kite","fly","pear"
75,"002L","RWL_Block2_002L38FS2",27,"pan","spoon","pear","vase"
76,"002L","RWL_Block2_002L38FS2",28,"bread","cheese","bear","vase"
77,"002L","RWL_Block2_002L38FS2",29,"shirt","dress","cheese","fly"
78,"002L","RWL_Block2_002L38FS2",30,"pen","sword","pear","van"
79,"002L","RWL_Block2_002L38FS2",31,"swan","bee","spoon","bell"
80,"002L","RWL_Block2_002L38FS2",32,"vase","gift","van","swan"
81,"002L","RWL_Block2_002L38FS2",33,"cheese","bread","shirt","van"
82,"002L","RWL_Block2_002L38FS2",34,"fly","bee","flag","pen"
83,"002L","RWL_Block2_002L38FS2",35,"pear","cheese","pen","vase"
84,"002L","RWL_Block2_002L38FS2",36,"sword","pen","swan","gift"
85,"002L","RWL_Block2_002L38FS2",37,"horse","bear","heart","pan"
86,"002L","RWL_Block2_002L38FS2",38,"drum","bell","dress","sword"
87,"002L","RWL_Block2_002L38FS2",39,"kite","flag","gift","shirt"
88,"002L","RWL_Block2_002L38FS2",40,"van","horse","pan","sword"
89,"002L","RWL_Block2_002L38FS2",41,"bell","drum","bee","swing"
90,"002L","RWL_Block2_002L38FS2",42,"ring","dress","swing","flag"
91,"002L","RWL_Block2_002L38FS2",43,"heart","ring","horse","pan"
92,"002L","RWL_Block2_002L38FS2",44,"swing","kite","spoon","heart"
93,"002L","RWL_Block2_002L38FS2",45,"bee","fly","bear","heart"
94,"002L","RWL_Block2_002L38FS2",46,"gift","vase","kite","bread"
95,"002L","RWL_Block2_002L38FS2",47,"dress","shirt","drum","swing"
96,"002L","RWL_Block2_002L38FS2",48,"bear","horse","bell","ring"
97,"003L","RWL_Block1_003L31FS1",1,"flag","kite","fly","pear"
98,"003L","RWL_Block1_003L31FS1",2,"drum","bell","dress","sword"
99,"003L","RWL_Block1_003L31FS1",3,"ring","dress","swing","flag"
100,"003L","RWL_Block1_003L31FS1",4,"swan","bee","spoon","bell"
101,"003L","RWL_Block1_003L31FS1",5,"kite","flag","gift","shirt"
102,"003L","RWL_Block1_003L31FS1",6,"bell","drum","bee","swing"
103,"003L","RWL_Block1_003L31FS1",7,"heart","ring","horse","pan"
104,"003L","RWL_Block1_003L31FS1",8,"bread","cheese","bear","vase"
105,"003L","RWL_Block1_003L31FS1",9,"vase","gift","van","swan"
106,"003L","RWL_Block1_003L31FS1",10,"gift","vase","kite","bread"
107,"003L","RWL_Block1_003L31FS1",11,"fly","bee","flag","pen"
108,"003L","RWL_Block1_003L31FS1",12,"pen","sword","pear","van"
109,"003L","RWL_Block1_003L31FS1",13,"dress","shirt","drum","swing"
110,"003L","RWL_Block1_003L31FS1",14,"cheese","bread","shirt","van"
111,"003L","RWL_Block1_003L31FS1",15,"van","horse","pan","sword"
112,"003L","RWL_Block1_003L31FS1",16,"pan","spoon","pear","vase"
113,"003L","RWL_Block1_003L31FS1",17,"sword","pen","swan","gift"
114,"003L","RWL_Block1_003L31FS1",18,"bee","fly","bear","heart"
115,"003L","RWL_Block1_003L31FS1",19,"pear","cheese","pen","ring"
116,"003L","RWL_Block1_003L31FS1",20,"shirt","dress","cheese","fly"
117,"003L","RWL_Block1_003L31FS1",21,"horse","bear","heart","pan"
118,"003L","RWL_Block1_003L31FS1",22,"swing","kite","spoon","heart"
119,"003L","RWL_Block1_003L31FS1",23,"spoon","pan","swan","drum"
120,"003L","RWL_Block1_003L31FS1",24,"bear","horse","bell","ring"
121,"003L","RWL_Block2_003L31FS1",25,"spoon","pan","swan","drum"
122,"003L","RWL_Block2_003L31FS1",26,"flag","kite","fly","pear"
123,"003L","RWL_Block2_003L31FS1",27,"pan","spoon","pear","vase"
124,"003L","RWL_Block2_003L31FS1",28,"bread","cheese","bear","vase"
125,"003L","RWL_Block2_003L31FS1",29,"shirt","dress","cheese","fly"
126,"003L","RWL_Block2_003L31FS1",30,"pen","sword","pear","van"
127,"003L","RWL_Block2_003L31FS1",31,"swan","bee","spoon","bell"
128,"003L","RWL_Block2_003L31FS1",32,"vase","gift","van","swan"
129,"003L","RWL_Block2_003L31FS1",33,"cheese","bread","shirt","van"
130,"003L","RWL_Block2_003L31FS1",34,"fly","bee","flag","pen"
131,"003L","RWL_Block2_003L31FS1",35,"pear","cheese","pen","vase"
132,"003L","RWL_Block2_003L31FS1",36,"sword","pen","swan","gift"
133,"003L","RWL_Block2_003L31FS1",37,"horse","bear","heart","pan"
134,"003L","RWL_Block2_003L31FS1",38,"drum","bell","dress","sword"
135,"003L","RWL_Block2_003L31FS1",39,"kite","flag","gift","shirt"
136,"003L","RWL_Block2_003L31FS1",40,"van","horse","pan","sword"
137,"003L","RWL_Block2_003L31FS1",41,"bell","drum","bee","swing"
138,"003L","RWL_Block2_003L31FS1",42,"ring","dress","swing","flag"
139,"003L","RWL_Block2_003L31FS1",43,"heart","ring","horse","pan"
140,"003L","RWL_Block2_003L31FS1",44,"swing","kite","spoon","heart"
141,"003L","RWL_Block2_003L31FS1",45,"bee","fly","bear","heart"
142,"003L","RWL_Block2_003L31FS1",46,"gift","vase","kite","bread"
143,"003L","RWL_Block2_003L31FS1",47,"dress","shirt","drum","swing"
144,"003L","RWL_Block2_003L31FS1",48,"bear","horse","bell","ring"
145,"004L","RWL_Block1_004L32FS1",1,"flag","kite","fly","pear"
146,"004L","RWL_Block1_004L32FS1",2,"drum","bell","dress","sword"
147,"004L","RWL_Block1_004L32FS1",3,"ring","dress","swing","flag"
148,"004L","RWL_Block1_004L32FS1",4,"swan","bee","spoon","bell"
149,"004L","RWL_Block1_004L32FS1",5,"kite","flag","gift","shirt"
150,"004L","RWL_Block1_004L32FS1",6,"bell","drum","bee","swing"
151,"004L","RWL_Block1_004L32FS1",7,"heart","ring","horse","pan"
152,"004L","RWL_Block1_004L32FS1",8,"bread","cheese","bear","vase"
153,"004L","RWL_Block1_004L32FS1",9,"vase","gift","van","swan"
154,"004L","RWL_Block1_004L32FS1",10,"gift","vase","kite","bread"
155,"004L","RWL_Block1_004L32FS1",11,"fly","bee","flag","pen"
156,"004L","RWL_Block1_004L32FS1",12,"pen","sword","pear","van"
157,"004L","RWL_Block1_004L32FS1",13,"dress","shirt","drum","swing"
158,"004L","RWL_Block1_004L32FS1",14,"cheese","bread","shirt","van"
159,"004L","RWL_Block1_004L32FS1",15,"van","horse","pan","sword"
160,"004L","RWL_Block1_004L32FS1",16,"pan","spoon","pear","vase"
161,"004L","RWL_Block1_004L32FS1",17,"sword","pen","swan","gift"
162,"004L","RWL_Block1_004L32FS1",18,"bee","fly","bear","heart"
163,"004L","RWL_Block1_004L32FS1",19,"pear","cheese","pen","ring"
164,"004L","RWL_Block1_004L32FS1",20,"shirt","dress","cheese","fly"
165,"004L","RWL_Block1_004L32FS1",21,"horse","bear","heart","pan"
166,"004L","RWL_Block1_004L32FS1",22,"swing","kite","spoon","heart"
167,"004L","RWL_Block1_004L32FS1",23,"spoon","pan","swan","drum"
168,"004L","RWL_Block1_004L32FS1",24,"bear","horse","bell","ring"
169,"004L","RWL_Block2_004L32FS1",25,"spoon","pan","swan","drum"
170,"004L","RWL_Block2_004L32FS1",26,"flag","kite","fly","pear"
171,"004L","RWL_Block2_004L32FS1",27,"pan","spoon","pear","vase"
172,"004L","RWL_Block2_004L32FS1",28,"bread","cheese","bear","vase"
173,"004L","RWL_Block2_004L32FS1",29,"shirt","dress","cheese","fly"
174,"004L","RWL_Block2_004L32FS1",30,"pen","sword","pear","van"
175,"004L","RWL_Block2_004L32FS1",31,"swan","bee","spoon","bell"
176,"004L","RWL_Block2_004L32FS1",32,"vase","gift","van","swan"
177,"004L","RWL_Block2_004L32FS1",33,"cheese","bread","shirt","van"
178,"004L","RWL_Block2_004L32FS1",34,"fly","bee","flag","pen"
179,"004L","RWL_Block2_004L32FS1",35,"pear","cheese","pen","vase"
180,"004L","RWL_Block2_004L32FS1",36,"sword","pen","swan","gift"
181,"004L","RWL_Block2_004L32FS1",37,"horse","bear","heart","pan"
182,"004L","RWL_Block2_004L32FS1",38,"drum","bell","dress","sword"
183,"004L","RWL_Block2_004L32FS1",39,"kite","flag","gift","shirt"
184,"004L","RWL_Block2_004L32FS1",40,"van","horse","pan","sword"
185,"004L","RWL_Block2_004L32FS1",41,"bell","drum","bee","swing"
186,"004L","RWL_Block2_004L32FS1",42,"ring","dress","swing","flag"
187,"004L","RWL_Block2_004L32FS1",43,"heart","ring","horse","pan"
188,"004L","RWL_Block2_004L32FS1",44,"swing","kite","spoon","heart"
189,"004L","RWL_Block2_004L32FS1",45,"bee","fly","bear","heart"
190,"004L","RWL_Block2_004L32FS1",46,"gift","vase","kite","bread"
191,"004L","RWL_Block2_004L32FS1",47,"dress","shirt","drum","swing"
192,"004L","RWL_Block2_004L32FS1",48,"bear","horse","bell","ring"
193,"005L","RWL_Block1_005L31MS1",1,"flag","kite","fly","pear"
194,"005L","RWL_Block1_005L31MS1",2,"drum","bell","dress","sword"
195,"005L","RWL_Block1_005L31MS1",3,"ring","dress","swing","flag"
196,"005L","RWL_Block1_005L31MS1",4,"swan","bee","spoon","bell"
197,"005L","RWL_Block1_005L31MS1",5,"kite","flag","gift","shirt"
198,"005L","RWL_Block1_005L31MS1",6,"bell","drum","bee","swing"
199,"005L","RWL_Block1_005L31MS1",7,"heart","ring","horse","pan"
200,"005L","RWL_Block1_005L31MS1",8,"bread","cheese","bear","vase"
201,"005L","RWL_Block1_005L31MS1",9,"vase","gift","van","swan"
202,"005L","RWL_Block1_005L31MS1",10,"gift","vase","kite","bread"
203,"005L","RWL_Block1_005L31MS1",11,"fly","bee","flag","pen"
204,"005L","RWL_Block1_005L31MS1",12,"pen","sword","pear","van"
205,"005L","RWL_Block1_005L31MS1",13,"dress","shirt","drum","swing"
206,"005L","RWL_Block1_005L31MS1",14,"cheese","bread","shirt","van"
207,"005L","RWL_Block1_005L31MS1",15,"van","horse","pan","sword"
208,"005L","RWL_Block1_005L31MS1",16,"pan","spoon","pear","vase"
209,"005L","RWL_Block1_005L31MS1",17,"sword","pen","swan","gift"
210,"005L","RWL_Block1_005L31MS1",18,"bee","fly","bear","heart"
211,"005L","RWL_Block1_005L31MS1",19,"pear","cheese","pen","ring"
212,"005L","RWL_Block1_005L31MS1",20,"shirt","dress","cheese","fly"
213,"005L","RWL_Block1_005L31MS1",21,"horse","bear","heart","pan"
214,"005L","RWL_Block1_005L31MS1",22,"swing","kite","spoon","heart"
215,"005L","RWL_Block1_005L31MS1",23,"spoon","pan","swan","drum"
216,"005L","RWL_Block1_005L31MS1",24,"bear","horse","bell","ring"
217,"005L","RWL_Block2_005L31MS1",25,"spoon","pan","swan","drum"
218,"005L","RWL_Block2_005L31MS1",26,"flag","kite","fly","pear"
219,"005L","RWL_Block2_005L31MS1",27,"pan","spoon","pear","vase"
220,"005L","RWL_Block2_005L31MS1",28,"bread","cheese","bear","vase"
221,"005L","RWL_Block2_005L31MS1",29,"shirt","dress","cheese","fly"
222,"005L","RWL_Block2_005L31MS1",30,"pen","sword","pear","van"
223,"005L","RWL_Block2_005L31MS1",31,"swan","bee","spoon","bell"
224,"005L","RWL_Block2_005L31MS1",32,"vase","gift","van","swan"
225,"005L","RWL_Block2_005L31MS1",33,"cheese","bread","shirt","van"
226,"005L","RWL_Block2_005L31MS1",34,"fly","bee","flag","pen"
227,"005L","RWL_Block2_005L31MS1",35,"pear","cheese","pen","vase"
228,"005L","RWL_Block2_005L31MS1",36,"sword","pen","swan","gift"
229,"005L","RWL_Block2_005L31MS1",37,"horse","bear","heart","pan"
230,"005L","RWL_Block2_005L31MS1",38,"drum","bell","dress","sword"
231,"005L","RWL_Block2_005L31MS1",39,"kite","flag","gift","shirt"
232,"005L","RWL_Block2_005L31MS1",40,"van","horse","pan","sword"
233,"005L","RWL_Block2_005L31MS1",41,"bell","drum","bee","swing"
234,"005L","RWL_Block2_005L31MS1",42,"ring","dress","swing","flag"
235,"005L","RWL_Block2_005L31MS1",43,"heart","ring","horse","pan"
236,"005L","RWL_Block2_005L31MS1",44,"swing","kite","spoon","heart"
237,"005L","RWL_Block2_005L31MS1",45,"bee","fly","bear","heart"
238,"005L","RWL_Block2_005L31MS1",46,"gift","vase","kite","bread"
239,"005L","RWL_Block2_005L31MS1",47,"dress","shirt","drum","swing"
240,"005L","RWL_Block2_005L31MS1",48,"bear","horse","bell","ring"
241,"006L","RWL_Block1_006L28FS1",1,"flag","kite","fly","pear"
242,"006L","RWL_Block1_006L28FS1",2,"drum","bell","dress","sword"
243,"006L","RWL_Block1_006L28FS1",3,"ring","dress","swing","flag"
244,"006L","RWL_Block1_006L28FS1",4,"swan","bee","spoon","bell"
245,"006L","RWL_Block1_006L28FS1",5,"kite","flag","gift","shirt"
246,"006L","RWL_Block1_006L28FS1",6,"bell","drum","bee","swing"
247,"006L","RWL_Block1_006L28FS1",7,"heart","ring","horse","bread"
248,"006L","RWL_Block1_006L28FS1",8,"bread","cheese","bear","vase"
249,"006L","RWL_Block1_006L28FS1",9,"vase","gift","van","swan"
250,"006L","RWL_Block1_006L28FS1",10,"gift","vase","kite","bread"
251,"006L","RWL_Block1_006L28FS1",11,"fly","bee","flag","pen"
252,"006L","RWL_Block1_006L28FS1",12,"pen","sword","pear","van"
253,"006L","RWL_Block1_006L28FS1",13,"dress","shirt","drum","swing"
254,"006L","RWL_Block1_006L28FS1",14,"cheese","bread","shirt","van"
255,"006L","RWL_Block1_006L28FS1",15,"van","horse","pan","sword"
256,"006L","RWL_Block1_006L28FS1",16,"pan","spoon","pear","vase"
257,"006L","RWL_Block1_006L28FS1",17,"sword","pen","swan","gift"
258,"006L","RWL_Block1_006L28FS1",18,"bee","fly","bear","heart"
259,"006L","RWL_Block1_006L28FS1",19,"pear","cheese","pen","ring"
260,"006L","RWL_Block1_006L28FS1",20,"shirt","dress","cheese","fly"
261,"006L","RWL_Block1_006L28FS1",21,"horse","bear","heart","pan"
262,"006L","RWL_Block1_006L28FS1",22,"swing","kite","spoon","heart"
263,"006L","RWL_Block1_006L28FS1",23,"spoon","pan","swan","drum"
264,"006L","RWL_Block1_006L28FS1",24,"bear","horse","bell","ring"
265,"006L","RWL_Block2_006L28FS1",25,"spoon","pan","swan","drum"
266,"006L","RWL_Block2_006L28FS1",26,"flag","kite","fly","pear"
267,"006L","RWL_Block2_006L28FS1",27,"pan","spoon","pear","vase"
268,"006L","RWL_Block2_006L28FS1",28,"bread","cheese","bear","vase"
269,"006L","RWL_Block2_006L28FS1",29,"shirt","dress","cheese","fly"
270,"006L","RWL_Block2_006L28FS1",30,"pen","sword","pear","van"
271,"006L","RWL_Block2_006L28FS1",31,"swan","bee","spoon","bell"
272,"006L","RWL_Block2_006L28FS1",32,"vase","gift","van","swan"
273,"006L","RWL_Block2_006L28FS1",33,"cheese","bread","shirt","van"
274,"006L","RWL_Block2_006L28FS1",34,"fly","bee","flag","pen"
275,"006L","RWL_Block2_006L28FS1",35,"pear","cheese","pen","vase"
276,"006L","RWL_Block2_006L28FS1",36,"sword","pen","swan","gift"
277,"006L","RWL_Block2_006L28FS1",37,"horse","bear","heart","pan"
278,"006L","RWL_Block2_006L28FS1",38,"drum","bell","dress","sword"
279,"006L","RWL_Block2_006L28FS1",39,"kite","flag","gift","shirt"
280,"006L","RWL_Block2_006L28FS1",40,"van","horse","pan","sword"
281,"006L","RWL_Block2_006L28FS1",41,"bell","drum","bee","swing"
282,"006L","RWL_Block2_006L28FS1",42,"ring","dress","swing","flag"
283,"006L","RWL_Block2_006L28FS1",43,"heart","ring","horse","pan"
284,"006L","RWL_Block2_006L28FS1",44,"swing","kite","spoon","heart"
285,"006L","RWL_Block2_006L28FS1",45,"bee","fly","bear","heart"
286,"006L","RWL_Block2_006L28FS1",46,"gift","vase","kite","bread"
287,"006L","RWL_Block2_006L28FS1",47,"dress","shirt","drum","swing"
288,"006L","RWL_Block2_006L28FS1",48,"bear","horse","bell","ring"
289,"007L","RWL_Block1_007L32FS1",1,"flag","kite","fly","pear"
290,"007L","RWL_Block1_007L32FS1",2,"drum","bell","dress","sword"
291,"007L","RWL_Block1_007L32FS1",3,"ring","dress","swing","flag"
292,"007L","RWL_Block1_007L32FS1",4,"swan","bee","spoon","bell"
293,"007L","RWL_Block1_007L32FS1",5,"kite","flag","gift","shirt"
294,"007L","RWL_Block1_007L32FS1",6,"bell","drum","bee","swing"
295,"007L","RWL_Block1_007L32FS1",7,"heart","ring","horse","pan"
296,"007L","RWL_Block1_007L32FS1",8,"bread","cheese","bear","vase"
297,"007L","RWL_Block1_007L32FS1",9,"vase","gift","van","swan"
298,"007L","RWL_Block1_007L32FS1",10,"gift","vase","kite","bread"
299,"007L","RWL_Block1_007L32FS1",11,"fly","bee","flag","pen"
300,"007L","RWL_Block1_007L32FS1",12,"pen","sword","pear","van"
301,"007L","RWL_Block1_007L32FS1",13,"dress","shirt","drum","swing"
302,"007L","RWL_Block1_007L32FS1",14,"cheese","bread","shirt","van"
303,"007L","RWL_Block1_007L32FS1",15,"van","horse","pan","sword"
304,"007L","RWL_Block1_007L32FS1",16,"pan","spoon","pear","vase"
305,"007L","RWL_Block1_007L32FS1",17,"sword","pen","swan","gift"
306,"007L","RWL_Block1_007L32FS1",18,"bee","fly","bear","heart"
307,"007L","RWL_Block1_007L32FS1",19,"pear","cheese","pen","ring"
308,"007L","RWL_Block1_007L32FS1",20,"shirt","dress","cheese","fly"
309,"007L","RWL_Block1_007L32FS1",21,"horse","bear","heart","pan"
310,"007L","RWL_Block1_007L32FS1",22,"swing","kite","spoon","heart"
311,"007L","RWL_Block1_007L32FS1",23,"spoon","pan","swan","drum"
312,"007L","RWL_Block1_007L32FS1",24,"bear","horse","bell","ring"
313,"007L","RWL_Block2_007L32FS1",25,"spoon","pan","swan","drum"
314,"007L","RWL_Block2_007L32FS1",26,"flag","kite","fly","pear"
315,"007L","RWL_Block2_007L32FS1",27,"pan","spoon","pear","vase"
316,"007L","RWL_Block2_007L32FS1",28,"bread","cheese","bear","vase"
317,"007L","RWL_Block2_007L32FS1",29,"shirt","dress","cheese","fly"
318,"007L","RWL_Block2_007L32FS1",30,"pen","sword","pear","van"
319,"007L","RWL_Block2_007L32FS1",31,"swan","bee","spoon","bell"
320,"007L","RWL_Block2_007L32FS1",32,"vase","gift","van","swan"
321,"007L","RWL_Block2_007L32FS1",33,"cheese","bread","shirt","van"
322,"007L","RWL_Block2_007L32FS1",34,"fly","bee","flag","pen"
323,"007L","RWL_Block2_007L32FS1",35,"pear","cheese","pen","vase"
324,"007L","RWL_Block2_007L32FS1",36,"sword","pen","swan","gift"
325,"007L","RWL_Block2_007L32FS1",37,"horse","bear","heart","pan"
326,"007L","RWL_Block2_007L32FS1",38,"drum","bell","dress","sword"
327,"007L","RWL_Block2_007L32FS1",39,"kite","flag","gift","shirt"
328,"007L","RWL_Block2_007L32FS1",40,"van","horse","pan","sword"
329,"007L","RWL_Block2_007L32FS1",41,"bell","drum","bee","swing"
330,"007L","RWL_Block2_007L32FS1",42,"ring","dress","swing","flag"
331,"007L","RWL_Block2_007L32FS1",43,"heart","ring","horse","pan"
332,"007L","RWL_Block2_007L32FS1",44,"swing","kite","spoon","heart"
333,"007L","RWL_Block2_007L32FS1",45,"bee","fly","bear","heart"
334,"007L","RWL_Block2_007L32FS1",46,"gift","vase","kite","bread"
335,"007L","RWL_Block2_007L32FS1",47,"dress","shirt","drum","swing"
336,"007L","RWL_Block2_007L32FS1",48,"bear","horse","bell","ring"
337,"008L","RWL_Block1_008L30MS1",1,"flag","kite","fly","pear"
338,"008L","RWL_Block1_008L30MS1",2,"drum","bell","dress","sword"
339,"008L","RWL_Block1_008L30MS1",3,"ring","dress","swing","flag"
340,"008L","RWL_Block1_008L30MS1",4,"swan","bee","spoon","bell"
341,"008L","RWL_Block1_008L30MS1",5,"kite","flag","gift","shirt"
342,"008L","RWL_Block1_008L30MS1",6,"bell","drum","bee","swing"
343,"008L","RWL_Block1_008L30MS1",7,"heart","ring","horse","pan"
344,"008L","RWL_Block1_008L30MS1",8,"bread","cheese","bear","vase"
345,"008L","RWL_Block1_008L30MS1",9,"vase","gift","van","swan"
346,"008L","RWL_Block1_008L30MS1",10,"gift","vase","kite","bread"
347,"008L","RWL_Block1_008L30MS1",11,"fly","bee","flag","pen"
348,"008L","RWL_Block1_008L30MS1",12,"pen","sword","pear","van"
349,"008L","RWL_Block1_008L30MS1",13,"dress","shirt","drum","swing"
350,"008L","RWL_Block1_008L30MS1",14,"cheese","bread","shirt","van"
351,"008L","RWL_Block1_008L30MS1",15,"van","horse","pan","sword"
352,"008L","RWL_Block1_008L30MS1",16,"pan","spoon","pear","vase"
353,"008L","RWL_Block1_008L30MS1",17,"sword","pen","swan","gift"
354,"008L","RWL_Block1_008L30MS1",18,"bee","fly","bear","heart"
355,"008L","RWL_Block1_008L30MS1",19,"pear","cheese","pen","ring"
356,"008L","RWL_Block1_008L30MS1",20,"shirt","dress","cheese","fly"
357,"008L","RWL_Block1_008L30MS1",21,"horse","bear","heart","pan"
358,"008L","RWL_Block1_008L30MS1",22,"swing","kite","spoon","heart"
359,"008L","RWL_Block1_008L30MS1",23,"spoon","pan","swan","drum"
360,"008L","RWL_Block1_008L30MS1",24,"bear","horse","bell","ring"
361,"008L","RWL_Block2_008L30MS1",25,"spoon","pan","swan","drum"
362,"008L","RWL_Block2_008L30MS1",26,"flag","kite","fly","pear"
363,"008L","RWL_Block2_008L30MS1",27,"pan","spoon","pear","vase"
364,"008L","RWL_Block2_008L30MS1",28,"bread","cheese","bear","vase"
365,"008L","RWL_Block2_008L30MS1",29,"shirt","dress","cheese","fly"
366,"008L","RWL_Block2_008L30MS1",30,"pen","sword","pear","van"
367,"008L","RWL_Block2_008L30MS1",31,"swan","bee","spoon","bell"
368,"008L","RWL_Block2_008L30MS1",32,"vase","gift","van","swan"
369,"008L","RWL_Block2_008L30MS1",33,"cheese","bread","shirt","van"
370,"008L","RWL_Block2_008L30MS1",34,"fly","bee","flag","pen"
371,"008L","RWL_Block2_008L30MS1",35,"pear","cheese","pen","vase"
372,"008L","RWL_Block2_008L30MS1",36,"sword","pen","swan","gift"
